Sl. No.,State Code,State/UT,Region,Financial_Year,GST_Collection
39,39,Centre Jurisdiction,Other,2023-03-30,2507
39,39,Centre Jurisdiction,Other,2024-03-30,1767
40,40,GST Collection (Domestic),,2020-03-21,865842
40,40,GST Collection (Domestic),,2021-03-30,1097545
40,40,GST Collection (Domestic),,2022-03-30,1324985
40,40,GST Collection (Domestic),,2023-03-30,1523249
40,40,GST Collection (Domestic),,2024-03-30,965138
41,41,Imports,,2020-03-21,270964
41,41,Imports,,2021-03-30,385746
41,41,Imports,,2022-03-30,482695
41,41,Imports,,2023-03-30,495001
41,41,Imports,,2024-03-30,309302
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
